"id";"COMPOSIZIONE";"cl";"SEL";"ncol";"ccol";"nart";"Descrizione";"Collezione";"PRE";"PREC";"PRO";"PROC";"VEND";"VENDC";"LANC";"CONQ";"VA";"PIU";"DAOF";"FIL";"COL";"LF";"CQF";"VAS";"DAORDFINALE";"query per fronitore_PF";"MAGCF";"MAGC";"CLIENTE1";"ORDINE1";"CLIENTE2";"ORDINE2";"CLIENTE3";"ORDINE3";"CLIENTE4";"ORDINE4";"ORDTOT";"CARICA";"ORD";"ORM";"ORS";"RES";"OT";"SommaDiDAARR";"CARICAF";"ORDF";"ORMF";"ORSF";"RESF";"OTF";"DAARF";"clie";"Espr1";"cl2";"DAARFORN";"OTFORN";"CARICAFORN";"PV";"PPRO";"PPRE";"pv1";"ppre1"
"A5.FIL.281.P40DIF";"40%PC + 30%WM + 30%PA";"ECAFILBEST";-1;8950139;"A5.FIL.281.P40";8950129;"Jupiter nm2200";"DIF";82,43;200,00;82,43;200,00;82,43;200,00;;;115,01;0,00;-32,58;"A5.FIL.281";"P40";0,00;0,00;115,01;-32,58;0,00;0,00;;"ECAFILBEST";85;;;;;;;85,00;115,01;85,00;0,00;0,00;0,00;85,00;;115,01;85,00;0,00;0,00;0,00;85,00;;"ECAFILBEST";;"ECAFILBEST";1762,29;2044,00;311,72;;;;;
"A5.FIL.282.B10DIF";"77%CO + 23%PA";"FILPA1974";-1;8950161;"A5.FIL.282.B10";8950159;"Toy nm8400";"DIF";22,55;600,00;22,55;600,00;22,55;600,00;;;;0,00;-2,45;"A5.FIL.282";"B10";0,00;0,00;0,00;-3,39;0,00;0,00;;"FILPA1974";37;;;;;;;37,00;;25,00;0,00;0,00;0,00;25,00;25,00;;37,00;0,00;0,00;0,00;37,00;37,00;"FILPA1974";;"FILPA1974";37,00;37,00;;;;;;
"A5.FIL.282.Y67DIF";"77%CO + 23%PA";"FILPA1974";-1;8950167;"A5.FIL.282.Y67";8950159;"Toy nm8400";"DIF";11,06;600,00;11,06;600,00;11,06;600,00;;;;0,00;-0,94;"A5.FIL.282";"Y67";0,00;0,00;0,00;-3,39;0,00;0,00;;"FILPA1974";37;;;;;;;37,00;;12,00;0,00;0,00;0,00;12,00;12,00;;37,00;0,00;0,00;0,00;37,00;37,00;"FILPA1974";;"FILPA1974";37,00;37,00;;;;;;
"A5.FIL.284.E66ECR";"100%WS";"LINSIEME";-1;8952297;"A5.FIL.284.E66";8952295;"Lord nm2/18";"ECR";97,40;312,00;97,40;312,00;97,40;312,00;;;;0,00;-2,60;"A5.FIL.284";"E66";77,00;0,00;0,00;-3,26;0,70;0,00;;"LINSIEME";260;;;;;;;260,00;;100,00;0,00;0,00;0,00;100,00;100,00;77,70;260,00;0,00;0,00;0,00;260,00;182,30;"LINSIEME";;"LINSIEME";182,30;260,00;77,70;;;;;
"A5.FIL.284.N98ECR";"100%WS";"LINSIEME";-1;8952298;"A5.FIL.284.N98";8952295;"Lord nm2/18";"ECR";89,19;285,00;89,19;285,00;89,19;285,00;77,00;;;0,70;-0,10;"A5.FIL.284";"N98";77,00;0,00;0,00;-3,26;0,70;0,00;;"LINSIEME";260;;;;;;;260,00;77,70;90,00;0,00;0,00;0,00;90,00;12,30;77,70;260,00;0,00;0,00;0,00;260,00;182,30;"LINSIEME";;"LINSIEME";182,30;260,00;77,70;;;;;
"A5.FIL.284.UB2ECR";"100%WS";"LINSIEME";-1;8952299;"A5.FIL.284.UB2";8952295;"Lord nm2/18";"ECR";69,45;223,00;69,45;223,00;69,45;223,00;;;;0,00;-0,55;"A5.FIL.284";"UB2";77,00;0,00;0,00;-3,26;0,70;0,00;;"LINSIEME";260;;;;;;;260,00;;70,00;0,00;0,00;0,00;70,00;70,00;77,70;260,00;0,00;0,00;0,00;260,00;182,30;"LINSIEME";;"LINSIEME";182,30;260,00;77,70;;;;;
"A5.FIL.301.B58DIF";"40%PC + 32%PL + 19%WM + 7%WO + 2%EA";"LAGOPOLANE";-1;8961480;"A5.FIL.301.B58";8961478;"M3x2+Pay nm 1/2500";"DIF";543,37;1500,00;543,37;1500,00;543,37;1500,00;26,00;;;0,00;-1,63;"A5.FIL.301";"B58";52,00;0,00;0,00;-4,26;0,00;0,00;;"LAGOPOLANE";1105;;;;;;;1105,00;;545,00;0,00;0,00;0,00;545,00;545,00;;1105,00;0,00;0,00;0,00;1105,00;1105,00;"LAGOPOLANE";;"LAGOPOLANE";1146,00;1316,00;173,70;;;;;
"A5.FIL.301.M08DIF";"40%PC + 32%PL + 19%WM + 7%WO + 2%EA";"LAGOPOLANE";-1;8961481;"A5.FIL.301.M08";8961478;"M3x2+Pay nm 1/2500";"DIF";129,44;500,00;129,44;500,00;129,44;500,00;;;;0,00;-0,56;"A5.FIL.301";"M08";52,00;0,00;0,00;-4,26;0,00;0,00;;"LAGOPOLANE";1105;;;;;;;1105,00;;130,00;0,00;0,00;0,00;130,00;130,00;;1105,00;0,00;0,00;0,00;1105,00;1105,00;"LAGOPOLANE";;"LAGOPOLANE";1146,00;1316,00;173,70;;;;;
"A5.FIL.301.W58DIF";"40%PC + 32%PL + 19%WM + 7%WO + 2%EA";"LAGOPOLANE";-1;8961483;"A5.FIL.301.W58";8961478;"M3x2+Pay nm 1/2500";"DIF";427,94;1500,00;427,94;1500,00;427,94;1500,00;26,00;;;0,00;-2,07;"A5.FIL.301";"W58";52,00;0,00;0,00;-4,26;0,00;0,00;;"LAGOPOLANE";1105;;;;;;;1105,00;;430,00;0,00;0,00;0,00;430,00;430,00;;1105,00;0,00;0,00;0,00;1105,00;1105,00;"LAGOPOLANE";;"LAGOPOLANE";1146,00;1316,00;173,70;;;;;
"A5.FIL.307.EA4DIF";"100%WO";"IGEASPA";-1;8965385;"A5.FIL.307.EA4";8964621;"Aquila nm2/48";"DIF";157,58;800,00;157,58;800,00;157,58;800,00;;;;0,00;-2,42;"A5.FIL.307";"EA4";0,00;0,00;0,00;-7,33;0,00;0,00;;"IGEASPA";483;;;;;;;483,00;;160,00;0,00;0,00;0,00;160,00;160,00;;483,00;0,00;0,00;0,00;483,00;483,00;"IGEASPA";;"IGEASPA";1311,00;1629,00;323,60;;;;;
